"id","front","back","f_w","f_h","b_w","b_h","f_size","b_size","issues"
"036","C:\Users\Nicol\musiam-front\src\data\kannon100\036\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\036\back.jpg","726","1072","726","1072","225402","252542",""
"037","C:\Users\Nicol\musiam-front\src\data\kannon100\037\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\037\back.jpg","726","1072","726","1072","226794","246075",""
"038","C:\Users\Nicol\musiam-front\src\data\kannon100\038\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\038\back.jpg","726","1072","726","1072","224147","238279",""
"039","C:\Users\Nicol\musiam-front\src\data\kannon100\039\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\039\back.jpg","726","1072","726","1072","220693","233985",""
"040","C:\Users\Nicol\musiam-front\src\data\kannon100\040\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\040\back.jpg","726","1072","726","1072","222397","244521",""
"041","C:\Users\Nicol\musiam-front\src\data\kannon100\041\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\041\back.jpg","726","1072","726","1072","219609","246275",""
"042","C:\Users\Nicol\musiam-front\src\data\kannon100\042\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\042\back.jpg","726","1072","726","1072","225402","238474",""
"043","C:\Users\Nicol\musiam-front\src\data\kannon100\043\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\043\back.jpg","726","1072","726","1072","221091","256264",""
"044","C:\Users\Nicol\musiam-front\src\data\kannon100\044\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\044\back.jpg","726","1072","726","1072","218888","250350",""
"045","C:\Users\Nicol\musiam-front\src\data\kannon100\045\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\045\back.jpg","726","1072","726","1072","223150","243433",""
"046","C:\Users\Nicol\musiam-front\src\data\kannon100\046\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\046\back.jpg","726","1072","726","1072","223556","243512",""
"047","C:\Users\Nicol\musiam-front\src\data\kannon100\047\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\047\back.jpg","37","40","726","1072","964","217971","TINY_FRONT"
"048","C:\Users\Nicol\musiam-front\src\data\kannon100\048\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\048\back.jpg","726","1072","726","1072","225299","253634",""
"049","C:\Users\Nicol\musiam-front\src\data\kannon100\049\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\049\back.jpg","726","1072","726","1072","217084","246355",""
"050","C:\Users\Nicol\musiam-front\src\data\kannon100\050\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\050\back.jpg","39","42","726","1072","1032","218893","TINY_FRONT"
"051","C:\Users\Nicol\musiam-front\src\data\kannon100\051\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\051\back.jpg","726","1072","726","1072","224225","245050",""
"052","C:\Users\Nicol\musiam-front\src\data\kannon100\052\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\052\back.jpg","38","40","726","1072","1057","230178","TINY_FRONT"
"053","C:\Users\Nicol\musiam-front\src\data\kannon100\053\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\053\back.jpg","726","1072","726","1072","215250","239072",""
"054","C:\Users\Nicol\musiam-front\src\data\kannon100\054\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\054\back.jpg","726","1072","726","1072","217310","242805",""
"055","C:\Users\Nicol\musiam-front\src\data\kannon100\055\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\055\back.jpg","726","1072","726","1072","222941","242770",""
"056","C:\Users\Nicol\musiam-front\src\data\kannon100\056\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\056\back.jpg","726","1072","726","1072","224926","247979",""
"057","C:\Users\Nicol\musiam-front\src\data\kannon100\057\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\057\back.jpg","726","1072","726","1072","231530","249706",""
"058","C:\Users\Nicol\musiam-front\src\data\kannon100\058\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\058\back.jpg","726","1072","726","1072","214372","237197",""
"059","C:\Users\Nicol\musiam-front\src\data\kannon100\059\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\059\back.jpg","726","1072","726","1072","217896","231480",""
"060","C:\Users\Nicol\musiam-front\src\data\kannon100\060\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\060\back.jpg","726","1072","726","1072","218764","243137",""
"061","C:\Users\Nicol\musiam-front\src\data\kannon100\061\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\061\back.jpg","726","1072","726","1072","244333","220213",""
"062","C:\Users\Nicol\musiam-front\src\data\kannon100\062\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\062\back.jpg","726","1072","726","1072","215325","234806",""
"063","C:\Users\Nicol\musiam-front\src\data\kannon100\063\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\063\back.jpg","726","1072","726","1072","239310","212235",""
"064","C:\Users\Nicol\musiam-front\src\data\kannon100\064\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\064\back.jpg","726","1072","726","1072","227310","244370",""
"065","C:\Users\Nicol\musiam-front\src\data\kannon100\065\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\065\back.jpg","726","1072","726","1072","223408","245179",""
"066","C:\Users\Nicol\musiam-front\src\data\kannon100\066\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\066\back.jpg","726","1072","726","1072","231031","245821",""
"067","C:\Users\Nicol\musiam-front\src\data\kannon100\067\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\067\back.jpg","726","1072","726","1072","223501","246745",""
"068","C:\Users\Nicol\musiam-front\src\data\kannon100\068\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\068\back.jpg","726","1072","726","1072","211385","226722",""
"069","C:\Users\Nicol\musiam-front\src\data\kannon100\069\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\069\back.jpg","726","1072","726","1072","217637","237387",""
"070","C:\Users\Nicol\musiam-front\src\data\kannon100\070\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\070\back.jpg","726","1072","726","1072","210470","228566",""
"071","C:\Users\Nicol\musiam-front\src\data\kannon100\071\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\071\back.jpg","726","1072","726","1072","214436","246242",""
"072","C:\Users\Nicol\musiam-front\src\data\kannon100\072\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\072\back.jpg","726","1072","726","1072","227540","250320",""
"073","C:\Users\Nicol\musiam-front\src\data\kannon100\073\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\073\back.jpg","726","1072","726","1072","221677","242431",""
"074","C:\Users\Nicol\musiam-front\src\data\kannon100\074\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\074\back.jpg","726","1072","726","1072","214836","246684",""
"075","C:\Users\Nicol\musiam-front\src\data\kannon100\075\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\075\back.jpg","726","1072","726","1072","215250","249764",""
"076","C:\Users\Nicol\musiam-front\src\data\kannon100\076\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\076\back.jpg","726","1072","726","1072","213885","224628",""
"077","C:\Users\Nicol\musiam-front\src\data\kannon100\077\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\077\back.jpg","726","1072","726","1072","230239","244727",""
