id,lang,issue,path,detail
"001","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\001\原文001.txt","原文001.txt"
"001","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\001\原文001.txt","原文001.txt"
"002","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\002\原文002.txt","原文002.txt"
"002","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\002\原文002.txt","原文002.txt"
"003","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\003\原文003.txt","原文003.txt"
"003","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\003\原文003.txt","原文003.txt"
"004","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\004\原文004.txt","原文004.txt"
"004","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\004\原文004.txt","原文004.txt"
"005","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\005\原文005.txt","原文005.txt"
"005","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\005\原文005.txt","原文005.txt"
"006","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\006\原文006.txt","原文006.txt"
"006","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\006\原文006.txt","原文006.txt"
"007","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\007\原文007.txt","原文007.txt"
"007","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\007\原文007.txt","原文007.txt"
"008","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\008\原文008.txt","原文008.txt"
"008","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\008\原文008.txt","原文008.txt"
"009","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\009\原文009.txt","原文009.txt"
"009","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\009\原文009.txt","原文009.txt"
"010","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\010\原文010.txt","原文010.txt"
"010","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\010\原文010.txt","原文010.txt"
"011","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\011\原文011.txt","原文011.txt"
"011","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\011\原文011.txt","原文011.txt"
"012","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\012\原文012.txt","原文012.txt"
"012","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\012\原文012.txt","原文012.txt"
"013","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\013\原文013.txt","原文013.txt"
"013","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\013\原文013.txt","原文013.txt"
"014","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\014\原文014.txt","原文014.txt"
"014","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\014\原文014.txt","原文014.txt"
"015","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\015\原文015.txt","原文015.txt"
"015","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\015\原文015.txt","原文015.txt"
"016","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\016\原文016.txt","原文016.txt"
"016","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\016\原文016.txt","原文016.txt"
"017","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\017\原文017.txt","原文017.txt"
"017","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\017\原文017.txt","原文017.txt"
"018","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\018\原文018.txt","原文018.txt"
"018","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\018\原文018.txt","原文018.txt"
"019","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\019\原文019.txt","原文019.txt"
"019","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\019\原文019.txt","原文019.txt"
"020","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\020\原文020.txt","原文020.txt"
"020","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\020\原文020.txt","原文020.txt"
"021","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\021\原文021.txt","原文021.txt"
"021","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\021\原文021.txt","原文021.txt"
"022","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\022\原文022.txt","原文022.txt"
"022","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\022\原文022.txt","原文022.txt"
"023","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\023\原文023.txt","原文023.txt"
"023","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\023\原文023.txt","原文023.txt"
"024","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\024\原文024.txt","原文024.txt"
"024","ja","almost_identical","C:\Users\Nicol\musiam-front\src\data\kannon100\024\ja.txt",""
"024","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\024\原文024.txt","原文024.txt"
"025","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\025\原文025.txt","原文025.txt"
"025","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\025\原文025.txt","原文025.txt"
"026","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\026\原文026.txt","原文026.txt"
"026","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\026\原文026.txt","原文026.txt"
"027","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\027\原文027.txt","原文027.txt"
"027","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\027\原文027.txt","原文027.txt"
"028","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\028\原文028.txt","原文028.txt"
"028","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\028\原文028.txt","原文028.txt"
"029","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\029\原文029.txt","原文029.txt"
"029","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\029\原文029.txt","原文029.txt"
"030","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\030\原文030.txt","原文030.txt"
"030","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\030\原文030.txt","原文030.txt"
"031","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\031\原文031.txt","原文031.txt"
"031","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\031\原文031.txt","原文031.txt"
"032","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\032\原文032.txt","原文032.txt"
"032","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\032\原文032.txt","原文032.txt"
"033","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\033\原文033.txt","原文033.txt"
"033","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\033\原文033.txt","原文033.txt"
"034","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\034\原文034.txt","原文034.txt"
"034","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\034\原文034.txt","原文034.txt"
"035","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\035\原文035.txt","原文035.txt"
"035","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\035\原文035.txt","原文035.txt"
"036","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\036\原文036.txt","原文036.txt"
"036","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\036\原文036.txt","原文036.txt"
"037","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\037\原文037.txt","原文037.txt"
"037","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\037\原文037.txt","原文037.txt"
"038","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\038\原文038.txt","原文038.txt"
"038","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\038\原文038.txt","原文038.txt"
"039","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\039\原文039.txt","原文039.txt"
"039","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\039\原文039.txt","原文039.txt"
"040","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\040\原文040.txt","原文040.txt"
"040","ja","almost_identical","C:\Users\Nicol\musiam-front\src\data\kannon100\040\ja.txt",""
"040","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\040\原文040.txt","原文040.txt"
"041","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\041\原文041.txt","原文041.txt"
"041","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\041\原文041.txt","原文041.txt"
"042","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\042\原文042.txt","原文042.txt"
"042","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\042\原文042.txt","原文042.txt"
"043","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\043\原文043.txt","原文043.txt"
"043","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\043\原文043.txt","原文043.txt"
"044","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\044\原文044.txt","原文044.txt"
"044","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\044\原文044.txt","原文044.txt"
"045","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\045\原文045.txt","原文045.txt"
"045","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\045\原文045.txt","原文045.txt"
"046","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\046\原文046.txt","原文046.txt"
"046","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\046\原文046.txt","原文046.txt"
"047","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\047\原文047.txt","原文047.txt"
"047","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\047\原文047.txt","原文047.txt"
"048","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\048\原文048.txt","原文048.txt"
"048","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\048\原文048.txt","原文048.txt"
"049","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\049\原文049.txt","原文049.txt"
"049","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\049\原文049.txt","原文049.txt"
"050","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\050\原文050.txt","原文050.txt"
"050","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\050\原文050.txt","原文050.txt"
"051","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\051\原文051.txt","原文051.txt"
"051","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\051\原文051.txt","原文051.txt"
"052","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\052\原文052.txt","原文052.txt"
"052","ja","almost_identical","C:\Users\Nicol\musiam-front\src\data\kannon100\052\ja.txt",""
"052","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\052\原文052.txt","原文052.txt"
"053","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\053\原文053.txt","原文053.txt"
"053","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\053\原文053.txt","原文053.txt"
"054","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\054\原文054.txt","原文054.txt"
"054","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\054\原文054.txt","原文054.txt"
"055","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\055\原文055.txt","原文055.txt"
"055","en","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\055\原文055.txt","原文055.txt"
"056","ja","info_src_chosen","C:\Users\Nicol\musiam-front\src\data\kannon100\056\原文056.txt","原文056.txt"
